shot_id,is_goal,shooter_x,shooter_y,optimal_gk_x,optimal_gk_y,actual_v,optimal_v,regret,y_pinned,on_goal_line,post_side
a2d87b69-dd13-4359-9909-e92bc1d8b665,0,93.1,30.9,119.0,43.5,0.0059562078677117825,0.004345640540122986,0.0016105673275887966,False,False,far
55c6ab4c-e91a-4182-94a5-80b5f5431026,0,105.4,43.2,118.5,40.0,0.2681063711643219,0.13988719880580902,0.12821917235851288,False,False,centre
cbb20e5a-2253-4351-b7a3-fc55d030f16a,0,94.2,18.7,119.0,43.5,0.007261588238179684,0.006593599915504456,0.0006679883226752281,False,False,far
ae9c744e-7c3e-4ef3-8c27-b9d05ce2a855,0,100.5,21.6,118.5,40.0,0.022598572075366974,0.02206893265247345,0.0005296394228935242,False,False,centre
adcd96c8-a44a-4339-850f-e1109cce0429,0,107.9,40.5,119.0,40.0,0.17586760222911835,0.15976092219352722,0.016106680035591125,False,False,centre
795298f4-cb2f-4273-bdcb-2a48e5bb7697,1,103.8,36.9,118.5,40.0,0.08136830478906631,0.07399145513772964,0.00737684965133667,False,False,centre
a398be07-0056-4561-9d06-103c6ff821ad,0,107.1,50.5,119.0,40.0,0.07484398782253265,0.04761480540037155,0.027229182422161102,False,False,centre
afc49602-7261-400e-be08-863fa2a007cb,0,109.5,41.7,111.0,41.5,0.15217965841293335,0.0953056812286377,0.056873977184295654,False,False,centre
2eb5550f-ba29-4fab-a4c9-ee1c1cdeab97,0,88.1,39.9,119.0,44.0,0.016009461134672165,0.007304676342755556,0.008704784791916609,False,False,far
33b124c0-6815-46aa-8f25-610f6dd6b7f7,0,111.2,32.9,119.0,36.5,0.04415262117981911,0.042112935334444046,0.002039685845375061,False,False,near
1ba8ecf5-19c9-4f74-97f0-a9bdad5c26ee,0,113.0,54.3,119.0,44.0,0.021645303815603256,0.019933830946683884,0.0017114728689193726,False,False,near
264e2204-b8c7-419a-99fa-f356b56928de,0,102.7,29.0,119.0,36.5,0.035522688180208206,0.03091711550951004,0.004605572670698166,False,False,near
4ac3018d-808c-4de6-b42d-9b3c715c6376,0,100.4,33.1,119.0,36.5,0.08518335223197937,0.04292110353708267,0.0422622486948967,False,False,near
34bea182-2699-4330-a562-b305d95ae3a1,0,110.4,44.1,119.0,40.0,0.04950745776295662,0.04755532369017601,0.0019521340727806091,False,False,centre
87b6e94f-367b-4442-871c-4b07ba7dfb07,0,95.7,51.1,118.5,40.0,0.013139448128640652,0.011358564719557762,0.0017808834090828896,False,False,centre
d756b3de-f863-49ba-ac69-d0b4b06ce61a,0,106.6,49.9,118.5,40.0,0.2133408784866333,0.10306873917579651,0.11027213931083679,False,False,centre
33246ed7-1eca-4464-9300-0513852ab0a8,0,98.1,46.0,118.5,40.0,0.04360369220376015,0.022622166201472282,0.020981526002287865,False,False,centre
e1739d5b-75ce-4d79-835a-e70b603fe566,0,113.5,31.3,119.0,44.0,0.2279544472694397,0.09031851589679718,0.13763593137264252,False,False,far
88dc4a39-25fe-441e-a93e-8428070b87ea,0,93.1,35.7,119.0,44.0,0.007568353321403265,0.0063960254192352295,0.0011723279021680355,False,False,far
3ae3ba5d-a9c1-4621-ac0a-d7160cd8dbe8,0,114.3,43.1,116.0,42.5,0.09605416655540466,0.08993697166442871,0.006117194890975952,False,False,near
0c5620fc-6589-44c4-ba23-dee1a5c8d929,1,111.2,45.5,112.0,45.0,0.4201599657535553,0.1601068079471588,0.2600531578063965,False,False,near
3e19da2e-72e0-40e6-b7b2-646aebd9b034,0,93.5,60.2,119.0,43.5,0.003085401840507984,0.001602850970812142,0.0014825508696958423,False,False,near
84d67153-5410-49b9-b6fa-abc25de59c90,0,105.2,58.2,119.0,43.5,0.025332694873213768,0.011078594252467155,0.014254100620746613,False,False,near
cb22793f-8f19-400c-9506-9f5d4e44d91b,0,117.5,51.2,119.0,40.0,0.06741130352020264,0.07789155840873718,-0.010480254888534546,False,False,centre
aaee34a3-dce7-44f0-881b-bef840212e97,0,115.9,44.9,118.0,44.5,0.23779654502868652,0.08892123401165009,0.14887531101703644,False,False,near
7379e74d-0d29-4561-8c4c-b72f9a778427,0,95.3,53.6,119.0,44.0,0.008362537249922752,0.0074423328042030334,0.0009202044457197189,False,False,near
474e135b-fc20-41ba-975f-7d819bc3bc61,0,106.2,32.9,119.0,36.5,0.09906846284866333,0.08793897181749344,0.011129491031169891,False,False,near
627020f0-8cc8-464a-b76e-a40314aac5ac,0,111.8,41.2,119.0,40.5,0.08458214998245239,0.08009956777095795,0.004482582211494446,False,False,centre
6c7fb8ba-3cc7-461c-8f00-9c0073dd24c6,0,106.5,50.2,118.5,40.0,0.14136943221092224,0.081614650785923,0.05975478142499924,False,False,centre
5519df19-8666-438e-87a5-fa5f14548761,0,103.8,27.8,119.0,36.5,0.12935616075992584,0.06873128563165665,0.060624875128269196,False,False,near
1e64d879-e62c-4f55-be0c-d72a59d9e1a2,0,102.4,27.0,119.0,36.5,0.03704385086894035,0.03309810161590576,0.003945749253034592,False,False,near
ebfc1b09-1d42-4e76-bb2d-12aa80b878b7,0,103.5,20.2,119.0,36.5,0.022690825164318085,0.01861424744129181,0.004076577723026276,False,False,near
55841771-0945-462c-8e12-87b8e1d5649d,0,93.9,31.2,119.0,44.0,0.01844979077577591,0.015926789492368698,0.0025230012834072113,False,False,far
13c84598-991a-4519-b50a-1207432df8e5,0,103.2,41.5,118.5,40.0,0.08594553917646408,0.05951397493481636,0.02643156424164772,False,False,centre
f7c51639-2622-431c-9ca3-d947e9aaebc9,1,111.3,37.9,119.0,38.5,0.14409421384334564,0.14415492117404938,-6.070733070373535e-05,False,False,centre
f0a6d34a-981f-4a64-9390-5a1358ecbcd2,0,109.1,50.9,119.0,43.5,0.03278641402721405,0.02650683932006359,0.006279574707150459,False,False,near
6ee71e50-ff27-4ecf-a34e-f93404da42ad,0,101.2,29.2,119.0,36.5,0.07386253774166107,0.0525776669383049,0.02128487080335617,False,False,near
a9ec0b06-815b-45a7-815f-500ca753c77a,0,108.6,58.4,119.0,43.5,0.021096928045153618,0.017048289999365807,0.004048638045787811,False,False,near
